Ticket	adjusted eps	Bloomberg Estimated EPS	Announcement Date	start_date	end_date
FOX	0.36	0.49	2017-02-06	2016-08-15	2017-07-28
FOXA	0.36	0.49	2017-02-06	2016-08-15	2017-07-28
FRC	1.0611	1.086	2017-07-14	2017-01-23	2018-01-04
FRT	0.7925	0.791	2017-08-02	2017-02-09	2018-01-24
FSLR	0.64	0.035	2017-07-27	2017-02-03	2018-01-18
FTNT	0.1278	0.198	2017-07-26	2017-02-02	2018-01-17
FTV	0.71	0.694	2017-07-27	2017-02-03	2018-01-18
FWONA	0.1132	-0.025	2017-08-09	2017-02-16	2018-01-31
G	0.3759	0.355	2017-08-02	2017-02-09	2018-01-24
GD	2.45	2.422	2017-07-26	2017-02-02	2018-01-17
GDDY	0.1681	0.328	2017-08-08	2017-02-15	2018-01-30
GE	0.28	0.251	2017-07-21	2017-01-30	2018-01-11
GGG	0.46	0.355	2017-07-26	2017-02-02	2018-01-17
GILD	2.3607	2.141	2017-07-26	2017-02-02	2018-01-17
GIS	0.73	0.862	2016-12-20	2016-06-30	2017-06-14
GLW	0.42	0.403	2017-07-26	2017-02-02	2018-01-17
GM	1.89	1.696	2017-07-25	2017-02-01	2018-01-16
GNTX	0.31	0.317	2017-07-21	2017-01-30	2018-01-11
GOOGL	8.9167	10.407	2017-07-24	2017-01-31	2018-01-12
GPC	1.29	1.313	2017-07-20	2017-01-27	2018-01-10
GPK	0.15	0.146	2017-07-25	2017-02-01	2018-01-16
GPN	0.5128	0.92	2017-08-03	2017-02-10	2018-01-25
GPS	0.5843	0.586	2016-08-18	2016-02-29	2017-02-09
GRA	0.84	0.798	2017-07-27	2017-02-03	2018-01-18
GRMN	0.88	0.809	2017-08-02	2017-02-09	2018-01-24
GRUB	0.2171	0.257	2017-08-03	2017-02-10	2018-01-25
GS	3.95	3.427	2017-07-18	2017-01-25	2018-01-08
GT	0.7	0.71	2017-07-28	2017-02-06	2018-01-19
GWR	0.8	0.726	2017-08-01	2017-02-08	2018-01-23
GWRE	0.3554	0.142	2017-03-02	2016-09-08	2017-08-22
GWW	2.74	2.646	2017-07-19	2017-01-26	2018-01-09
H	0.52	0.349	2017-08-03	2017-02-10	2018-01-25
HAIN	0.43	0.566	2017-06-22	2016-12-29	2017-12-12
HAL	0.23	0.18	2017-07-24	2017-01-31	2018-01-12
HAS	0.5317	0.454	2017-07-24	2017-01-31	2018-01-12
HBAN	0.26	0.232	2017-07-21	2017-01-30	2018-01-11
HBI	0.53	0.529	2017-08-01	2017-02-08	2018-01-23
HCA	1.75	1.803	2017-07-25	2017-02-01	2018-01-16
HCP	0.0403	0.157	2017-08-01	2017-02-08	2018-01-23
HD	2.2473	1.968	2016-08-16	2016-02-25	2017-02-07
HDS	0.64	0.875	2016-09-07	2016-03-17	2017-03-01
HE	0.36	0.393	2017-08-03	2017-02-10	2018-01-25
HEI	0.3392	0.323	2017-05-23	2016-11-29	2017-11-10
HES	-1.46	-1.295	2017-07-26	2017-02-02	2018-01-17
HFC	0.66	0.469	2017-08-02	2017-02-09	2018-01-24
HGV	0.51	0.453	2017-08-02	2017-02-09	2018-01-24
HHC	0.0725	0.777	2017-08-07	2017-02-14	2018-01-29
HIG	1.04	0.943	2017-07-27	2017-02-03	2018-01-18
HII	3.21	2.667	2017-08-03	2017-02-10	2018-01-25
HIW	0.3429	0.303	2017-07-25	2017-02-01	2018-01-16
HLF	0.755	0.557	2017-08-01	2017-02-08	2018-01-23
HLT	0.52	0.499	2017-07-26	2017-02-02	2018-01-17
HOG	1.4765	1.383	2017-07-18	2017-01-25	2018-01-08
HOLX	0.5	0.461	2017-05-10	2016-11-15	2017-10-30
HON	1.8	1.778	2017-07-21	2017-01-30	2018-01-11
HP	-0.253	-0.407	2017-04-27	2016-11-02	2017-10-17
HPE	0.31	0.352	2017-05-31	2016-12-06	2017-11-17
HPP	0.02	0.032	2017-08-03	2017-02-10	2018-01-25
HPQ	0.43	0.389	2017-05-24	2016-11-30	2017-11-13
HPT	0.37	0.35	2017-08-09	2017-02-16	2018-01-31
HRB	-0.62	-0.675	2016-12-07	2016-06-17	2017-06-01
HRC	0.91	0.788	2017-04-28	2016-11-03	2017-10-18
HRL	0.3387	0.399	2017-05-25	2016-12-01	2017-11-14
HRS	1.49	1.379	2017-02-02	2016-08-11	2017-07-26
HSIC	0.875	0.872	2017-08-08	2017-02-15	2018-01-30
HST	0.2842	0.29	2017-07-26	2017-02-02	2018-01-17
HSY	1.09	0.896	2017-07-26	2017-02-02	2018-01-17
HTA	0.0729	0.105	2017-07-31	2017-02-07	2018-01-22
HUBB	1.43	1.403	2017-07-25	2017-02-01	2018-01-16
HUM	3.49	3.068	2017-08-02	2017-02-09	2018-01-24
HUN	0.85	0.649	2017-07-27	2017-02-03	2018-01-18
HXL	0.67	0.689	2017-07-24	2017-01-31	2018-01-12
IAC	0.6668	0.652	2017-08-02	2017-02-09	2018-01-24
IART	0.45	0.447	2017-07-26	2017-02-02	2018-01-17
IBKR	0.41	0.37	2017-07-18	2017-01-25	2018-01-08
IBM	2.97	2.744	2017-07-18	2017-01-25	2018-01-08
ICE	0.75	0.756	2017-08-03	2017-02-10	2018-01-25
ICUI	0.2842	0.767	2017-08-09	2017-02-16	2018-01-31
IDXX	0.9497	0.848	2017-08-01	2017-02-08	2018-01-23
IEX	1.08	1.06	2017-07-25	2017-02-01	2018-01-16
IFF	1.5	1.449	2017-08-08	2017-02-15	2018-01-30
IGT	0.15	0.343	2017-08-01	2017-02-08	2018-01-23
ILMN	0.82	0.688	2017-08-01	2017-02-08	2018-01-23
INCY	0.026	0.192	2017-08-01	2017-02-08	2018-01-23
INFO	0.2972	0.523	2017-06-27	2017-01-04	2017-12-15
INGR	1.89	1.851	2017-08-01	2017-02-08	2018-01-23
INTC	0.72	0.68	2017-07-27	2017-02-03	2018-01-18
INTU	0.0944	0.25	2017-02-23	2016-08-31	2017-08-15
INVH	-0.0115	0.018	2017-08-10	2017-02-17	2018-02-01
IONS	-0.0904	-0.028	2017-08-08	2017-02-15	2018-01-30
